prod_id,name,price,category,sub-category,image1,image2,Brand,description,size,,,,,
12,Men's Vintage Blue Vertical Striped Casual Short Sleeve Shirt,550,Men,Top-Wear,shirtF12.jpg,shirtB12.jpg,SmartWear,"100% Cotton 
Lightweight, Breathable fabric with great comfort
Regular fit
Machine wash cold; Tumble dry low; Low iron; No bleach
Great for summer vacations like camp, luau, cruise, sun beach, etc.
Garments, especially those of cotton may see slight shrinkage after washed",S-XXL,,,,,
13,Men's Retro Cotton Button Up 70s Short Sleeve Shirt,449,Men,Top-Wear,shirtF13.jpg,shirtB13.jpg,SmartWear,"70%Cotton 30%Viscose
Lightweight, Breathable fabric with great comfort
Regular fit
Machine wash cold; Tumble dry low; Low iron; No bleach
Button-front shirt featuring spread collar and short sleeve
Great for summer vacations like camp,luau,cruise,sun beach etc.
Garments, especially those of cotton may see slight shrinkage after washed",S-XXL,,,,,
14,Men's Patchwork Print Daisy Floral Vintage Retro Holiday Short Sleeve Button Up Shirt,349,Men,Top-Wear,shirtF14.jpg,shirtB14.jpg,SmartWear,"100% Rayon
Lightweight, Breathable fabric with great comfort
Regular fit
Machine wash cold; Hang to dry; Low iron; No bleach
Perfect for daily wear and can be worn to work, on a date, to dinner parties, costume parties, themed parties, the beach, vacations, BBQs, camp, barbecue, sun beach, Hawaii parties, music festivals and even Hip Hop events.",S-XXL,,,,,
15,Men's Vintage Floral Cotton Breathable Short Sleeve Grey Button Up Shirt,399,Men,Top-Wear,shirtF15.jpg,shirtB15.jpg,SmartWear,"70% Cotton 30% Viscose
Lightweight, Breathable fabric with great comfort
Regular fit
Machine wash cold; Tumble dry low; Low iron; No bleach
Perfect for summer activities such as vacation, leisure, sun beach, travel, concerts, streetwear, music festivals and themed parties. 
Garments, especially those of cotton may see slight shrinkage after washed",S-XXL,,,,,
16,Men's Floral Dark Green Hawaiian Vintage Soft Beach Holiday Button Up Short Sleeve Shirt,599,Men,Top-Wear,shirtF16.jpg,shirtB16.jpg,SmartWear,"100% Rayon
Lightweight, Breathable fabric with great comfort
Regular fit
Machine wash cold; Tumble dry low; Low iron; No bleach
Button-front shirt featuring spread collar and short sleeve
Great for summer vacations like camp, luau, cruise, sun beach, etc.
Garments, especially those of cotton may see slight shrinkage after washed",S-XXL,,,,,
17,Men's Breathable Cotton Short Sleeve Striped Shirt,499,Men,Top-Wear,shirtF17.jpg,shirtB17.jpg,SmartWear,"70%Cotton 30%Viscose
Lightweight, Breathable fabric with great comfort
Regular fit
Machine wash cold; Tumble dry low; Low iron; No bleach
Button-front shirt featuring spread collar and short sleeve.
Great for summer vacations like camp,barbecue,sun beach, hawaii party etc.
Garments, especially those of cotton may see slight shrinkage after washed.",S-XXL,,,,,
18,Men's Retro Paisley Floral Print Cotton Button Up Vintage Holiday Western Brown Short Sleeve Shirt,699,Men,Top-Wear,shirtF18.jpg,shirtB18.jpg,SmartWear,"70% Cotton 30% Viscose
Lightweight, Breathable fabric with great comfort
Regular fit
Machine wash cold; Tumble dry low; Low iron; No bleach
Perfect for summer activities such as vacation, leisure, sun beach, travel, concerts, streetwear, music festivals and themed parties. They are designed to keep you cool, comfy and chic in warm weather.
Garments, especially those of cotton may see slight shrinkage after washed",S-XXL,,,,,
19,Maple Orange Chest Patch Oversized T-Shirt,799,Men,Top-Wear,Ot-shirtF1.jpg,Ot-shirtB1.jpg,SmartWear,"Make this chest patch oversized t-shirt yours. With DTF print, HD embroidery, and applique patch, this has all the elements to make your style stand out. Made from a premium cotton blend, you can pair it with cargo pants or jeans and add sneakers to complete the street-ready look. Shop now!

Size & Fit:

Every piece of Oversized T-shirt is tailored with a loose oversized fit.
Our model (Height: 6 ft, Chest: 39 in) is wearing a large size.
Refer to the size chart for more accuracy.
Wash Care:

Cold machine wash
Wash dark colors separately
Do not dry in direct sunlight
Do not iron on print
Do not bleach
Do not tumble dry",S-XXL,,,,,
20,Light Mauve Textured Oversized T-shirt,699,Men,Top-Wear,Ot-shirtF2.jpg,Ot-shirtB2.jpg,SmartWear,"The basic that is not so BASIC! Let us check WHY? Crafted with a cotton-poly structure fabric, it offers immense softness and comfort all day long. The relaxed fit and natural stretch let you move freely while the textured fabric is highly breathable and absorbs sweat quickly. The round neck keeps it classic, while the straight bottom hem with side slits adds a touch of street-style flair. T-shirt construction is super sturdy and it is available in 3 trendy colors that are long lasting. It is loved by all and might disappear soon. Hurry!

Size & Fit:

Every piece of Oversized T-shirt is tailored with a loose oversized-fit.
Our model (Height: 6ft 2in, Chest: 40 in) is wearing a Large size.
Refer to the size chart for more accuracy.
Wash Care:

Gentle machine wash
Do not tumble dry
Do not iron directly
Do not use bleach",S-XXL,,,,,
21,Black Chest Patch Oversized T-Shirt,749,Men,Top-Wear,Ot-shirtF3.jpg,Ot-shirtB3.jpg,SmartWear,"Make this chest patch oversized t-shirt yours. With DTF print, HD embroidery, and applique patch, this has all the elements to make your style stand out. Made from a premium cotton blend, you can pair it with cargo pants or jeans and add sneakers to complete the street-ready look. Shop now!

Size & Fit:

Every piece of Oversized T-shirt is tailored with a loose oversized fit.
Our model (Height: 6 ft, Chest: 39 in) is wearing a large size.
Refer to the size chart for more accuracy.
Wash Care:

Cold machine wash
Wash dark colors separately
Do not dry in direct sunlight
Do not iron on print
Do not bleach
Do not tumble dry",S-XXL,,,,,
22,Camel Beige Z Embroidered Patch Oversized T-Shirt,699,Men,Top-Wear,Ot-shirtF4.jpg,Ot-shirtB4.jpg,SmartWear,"Get your hands on our latest embroidered patch oversized t-shirt. Its trendy designs include a fun HD embroidered patch, applique work and a cool print. Crafted from premium looper fabric it is durable and gentle on skin. Wear this oversized t-shirt with jeans or cargo pants for acing the street style. Grab it now!

Size & Fit:

Every piece of Oversized T-shirt is tailored with a loose relaxed fit.
Our model (Height: 6 ft, Chest: 39 in) is wearing a large size.
Refer to the size chart for more accuracy.
Wash Care:

Wash dark colors separately
Do not dry in direct sunlight
Do not iron on print (iron inside out)
Do not iron on print
Do not bleach",S-XXL,,,,,
23,Dark Tan Wanderlust Back Patch Oversized T-Shirt,899,Men,Top-Wear,Ot-shirtF5.jpg,Ot-shirtB5.jpg,SmartWear,"For a fresh take on laid-back style, go for our wanderlust back patch oversized t-shirt. With a quirky applique patch and DTF print on the back, this tee is sure to become your new favorite. With an oversized fit, it is breathable and has a natural stretch. Style this with edgy cargo pants and sneakers. Buy now!

Size & Fit:

Every piece of Oversized T-shirt is tailored with a loose oversized fit.
Our model (Height: 6 ft, Chest: 39 in) is wearing a large size.
Refer to the size chart for more accuracy.
Wash Care:

Cold machine wash
Wash dark colors separately
Do not dry in direct sunlight
Do not iron on print
Do not bleach",S-XXL,,,,,
24,Dark Grey Z Embroidered Patch Oversized T-Shirt,799,Men,Top-Wear,Ot-shirtF6.jpg,Ot-shirtB6.jpg,SmartWear,"Get your hands on our latest embroidered patch oversized t-shirt. Its trendy designs include a fun HD embroidered patch, applique work and a cool print. Crafted from premium looper fabric it is durable and gentle on skin. Wear this oversized t-shirt with jeans or cargo pants for acing the street style. Grab it now!

Size & Fit:

Every piece of Oversized T-shirt is tailored with a loose relaxed fit.

Our model (Height: 6 ft, Chest: 39 in) is wearing a large size.

Refer to the size chart for more accuracy.

Wash Care:

Wash dark colors separately

Do not dry in direct sunlight

Do not iron on print (iron inside out)

Do not iron on print

Do not bleach",S-XXL,,,,,
25,French Wine Savage Junkie Embroidered Patch Oversized T-Shirt,699,Men,Top-Wear,Ot-shirtF7.jpg,Ot-shirtB7.jpg,SmartWear,"Introducing our coolest embroidered patch oversized t-shirt. Crafted from premium looper fabric, it has an eye-catching ?savage junkie? HD print. It also features a quirky embroidered patch that blends casual and edgy vibes seamlessly. Pair this heavy-gauge t-shirt with jeans and your favorite pair of sneakers. Style this now!

Size & Fit:

Every piece of Oversized T-shirt is tailored with a loose oversized fit.

Our model (Height: 6 ft, Chest: 39 in) is wearing a large size.

Refer to the size chart for more accuracy.

Wash Care:

Wash dark colors separately

Do not dry in direct sunlight

Do not iron on print (iron inside out)

Do not bleach",S-XXL,,,,,
26,Rust Orange Jersey Knit Oversized T-Shirt,599,Men,Top-Wear,Ot-shirtF8.jpg,Ot-shirtB8.jpg,SmartWear,"Step into the world of ultimate fashion and comfort with our stylish oversized t-shirt. Crafted from premium, breathable cotton-poly double jersey knit. Its minimalist design offers a clean and classic look, making it a versatile addition to your wardrobe.

Size & Fit:

Every piece of Oversized T-shirt is tailored with a loose oversized-fit.
Our model (Height: 6ft, Chest: 38 in) is wearing a Large size.
Refer to the size chart for more accuracy.
Wash Care:

Cold machine wash
Wash dark colors separately
Do not dry in direct sunlight
Do not iron on print
Do not bleach
Do not tumble dry",S-XXL,,,,,
27,Teal Green Peace Printed Ribbed Edge Oversized T-Shirt,549,Men,Top-Wear,Ot-shirtF9.jpg,Ot-shirtB9.jpg,SmartWear,"Try our latest ribbed edge oversized t-shirt, which is crafted from premium looper. It has an attention-grabbing and meaningful HD print. With ribbed edges on the neck, sleeves, and hem, it brings a modern twist to your everyday fashion. Pair it with jeans and sneakers for a laid-back look. Make it yours!

Size & Fit:

Every piece of Oversized T-shirt is tailored with a loose oversized fit.
Our model (Height: 6 ft, Chest: 39 in) is wearing a large size.
Refer to the size chart for more accuracy.
Wash Care:

Wash dark colors separately
Do not dry in direct sunlight
Do not iron on print (iron inside out)
Do not bleach",S-XXL,,,,,
28,Black Emotionally Unavailable Oversized T-Shirt,649,Men,Top-Wear,Ot-shirtF10.jpg,Ot-shirtB10.jpg,SmartWear,"It's time you spoke your mind with our latest oversized t-shirt. It features a bold silicone print - true statement piece indeed. Crafted from premium looper knit fabric, our t-shirt offers effortless movement and style. Pair it with your jeans and beanie and you'll be ready to hit the streets.

Size & Fit:

Every piece of oversized t-shirt is tailored with a loose oversized fit.
Our model (Height: 6 feet 1in, chest: 38 inches) is wearing a large size.
Refer to the size chart for more accuracy.
Wash Care:

Cold machine wash
Wash dark colors separately
Do not dry in direct sunlight
Do not iron on print
Do not bleach
Do not tumble dry",S-XXL,,,,,
29,Cream Cut And Sew Panel Oversized T-Shirt,749,Men,Top-Wear,Ot-shirtF11.jpg,Ot-shirtB11.jpg,SmartWear,"Check out our latest oversized cut-and-sew panel t-shirt. This features stylish panels on the hem and sleeves for a bold, standout look. Crafted from premium looper fabric, this t-shirt offers both comfort and durability. Pair it with cool cargo pants to complete your street style. Shop now!

Size & Fit:

Every piece of Oversized T-shirt is tailored with a loose oversized fit.
Our model (Height: 6ft, Chest: 37.5 in) is wearing a Large size.
Refer to the size chart for more accuracy.
Wash Care:

Cold machine wash
Wash dark colors separately
Do not dry in direct sunlight
Do not iron on print
Do not bleach
Do not tumble dry",S-XXL,,,,,
30,Black Pintuck Oversized T-shirt,689,Men,Top-Wear,Ot-shirtF12.jpg,Ot-shirtB12.jpg,SmartWear,"Looking for a trendy oversized tee? End your search here with our latest pin-tucks detail tee, crafted from a cotton blend fabric, which absorbs sweat quickly and is highly breathable. This oversized tee is here to add a dapper edge to your casual look. Love it already? Make it yours today!

Size & Fit:

Every piece of Oversized T-shirt is tailored with a loose Relaxed-fit.
Our model (Height: 6ft 1in, Chest: 38 in) is wearing a Large size.
Refer to the size chart for more accuracy.
Wash Care:

Cold machine wash
Wash dark colors separately
Do not dry in direct sunlight
Do not iron on print
Do not bleach
Do not tumble dry",S-XXL,,,,,
31,Smoky Blue Jersey Knit Oversized T-Shirt,589,Men,Top-Wear,Ot-shirtF13.jpg,Ot-shirtB13.jpg,SmartWear,"Step into the world of ultimate fashion and comfort with our stylish oversized t-shirt. Crafted from premium, breathable cotton-poly double jersey knit. Its minimalist design offers a clean and classic look, making it a versatile addition to your wardrobe.

Size & Fit:

Every piece of Oversized T-shirt is tailored with a loose oversized-fit.
Our model (Height: 6ft, Chest: 38 in) is wearing a Large size.
Refer to the size chart for more accuracy.
Wash Care:

Cold machine wash
Wash dark colors separately
Do not dry in direct sunlight
Do not iron on print
Do not bleach
Do not tumble dry",S-XXL,,,,,
32,Off White Peace Printed Ribbed Edge Oversized T-Shirt,789,Men,Top-Wear,Ot-shirtF14.jpg,Ot-shirtB14.jpg,SmartWear,"Try our latest ribbed edge oversized t-shirt, which is crafted from premium looper. It has an attention-grabbing and meaningful HD print. With ribbed edges on the neck, sleeves, and hem, it brings a modern twist to your everyday fashion. Pair it with jeans and sneakers for a laid-back look. Make it yours!

Size & Fit:

Every piece of Oversized T-shirt is tailored with a loose oversized fit.
Our model (Height: 6 ft, Chest: 39 in) is wearing a large size.
Refer to the size chart for more accuracy.
Wash Care:

Wash dark colors separately
Do not dry in direct sunlight
Do not iron on print (iron inside out)
Do not bleach",S-XXL,,,,,
33,Light Beige Pintuck Oversized T-shirt,699,Men,Top-Wear,Ot-shirtF15.jpg,Ot-shirtB15.jpg,SmartWear,"Looking for a trendy oversized tee? End your search here with our latest pin-tucks detail tee, crafted from a cotton blend fabric, which absorbs sweat quickly and is highly breathable. This oversized tee is here to add a dapper edge to your casual look. Love it already? Make it yours today!

Size & Fit:

Every piece of Oversized T-shirt is tailored with a loose Relaxed-fit.
Our model (Height: 6ft 1in, Chest: 38 in) is wearing a Large size.
Refer to the size chart for more accuracy.
Wash Care:

Cold machine wash
Wash dark colors separately
Do not dry in direct sunlight
Do not iron on print
Do not bleach
Do not tumble dry",S-XXL,,,,,
34,Pale Green Textured Oversized T-shirt,599,Men,Top-Wear,Ot-shirtF16.jpg,Ot-shirtB16.jpg,SmartWear,"The basic that is not so BASIC! Let us check WHY? Crafted with a cotton-poly structure fabric, it offers immense softness and comfort all day long. The relaxed fit and natural stretch let you move freely while the textured fabric is highly breathable and absorbs sweat quickly. The round neck keeps it classic, while the straight bottom hem with side slits adds a touch of street-style flair. T-shirt construction is super sturdy and it is available in 3 trendy colors that are long lasting. It is loved by all and might disappear soon. Hurry!

Size & Fit:

Every piece of Oversized T-shirt is tailored with a loose oversized-fit.
Our model (Height: 6ft 2in, Chest: 40 in) is wearing a Large size.
Refer to the size chart for more accuracy.
Wash Care:

Gentle machine wash
Do not tumble dry
Do not iron directly
Do not use bleach",S-XXL,,,,,
35,Mens Waffle Knit Polo Tshirt Collar Knitted Shirt for Men,499,Men,Top-Wear,poloF1.jpg,poloB1.jpg,SmartWear,"Style: Casual half sleeve polo shirt with pocket for mens and boys
Fabric: Stylish waffle knit fabric . This fabric is breathable and is wearable in extreme heat
Neck type: Collared, Pocket : 1 pocket to carry essentials
Fit: Regular fit
This polo shirt is very stylish which looks basic and trendy at the same time . You can wear it in both casually and at special occassions",S-XXL,,,,,
36,Mens Waffle Knit Polo Tshirt Collar Knitted Shirt for Men,459,Men,Top-Wear,poloF2.jpg,poloB2.jpg,SmartWear,"Style: Casual half sleeve polo shirt with pocket for mens and boys
Fabric: Stylish waffle knit fabric . This fabric is breathable and is wearable in extreme heat
Neck type: Collared, Pocket : 1 pocket to carry essentials
Fit: Regular fit
This polo shirt is very stylish which looks basic and trendy at the same time . You can wear it in both casually and at special occassions",S-XXL,,,,,
37,Mens Waffle Knit Polo Tshirt Collar Knitted Shirt for Men,449,Men,Top-Wear,poloF3.jpg,poloB3.jpg,SmartWear,"Style: Casual half sleeve polo shirt with pocket for mens and boys
Fabric: Stylish waffle knit fabric . This fabric is breathable and is wearable in extreme heat
Neck type: Collared, Pocket : 1 pocket to carry essentials
Fit: Regular fit
This polo shirt is very stylish which looks basic and trendy at the same time . You can wear it in both casually and at special occassions",S-XXL,,,,,
38,Mens Waffle Knit Polo Tshirt Collar Knitted Shirt for Men,559,Men,Top-Wear,poloF4.jpg,poloB4.jpg,SmartWear,"Style: Casual half sleeve polo shirt with pocket for mens and boys
Fabric: Stylish waffle knit fabric . This fabric is breathable and is wearable in extreme heat
Neck type: Collared, Pocket : 1 pocket to carry essentials
Fit: Regular fit
This polo shirt is very stylish which looks basic and trendy at the same time . You can wear it in both casually and at special occassions",S-XXL,,,,,
39,Mens Waffle Knit Polo Tshirt Collar Knitted Shirt for Men,799,Men,Top-Wear,poloF5.jpg,poloB5.jpg,SmartWear,"Style: Casual half sleeve polo shirt with pocket for mens and boys
Fabric: Stylish waffle knit fabric . This fabric is breathable and is wearable in extreme heat
Neck type: Collared, Pocket : 1 pocket to carry essentials
Fit: Regular fit
This polo shirt is very stylish which looks basic and trendy at the same time . You can wear it in both casually and at special occassions",S-XXL,,,,,
40,Trillion Men's Full Sleeve Printed Sweatshirt for Men,449,Men,Top-Wear,SweatF1.jpg,SweatB1.jpg,SmartWear,"Combines the casual comfort of a sweatshirt with the functional style of a half-zip.
Simplifies putting on and taking off, compared to full pull-over sweatshirt.
Offers a sleek and modern aesthetic suitable for various occasions.
Typically made from soft, breathable materials for maximum comfort
Designed for long-lasting wear with reinforced stitching and quality fabric.",S-XXL,,,,,
41,Adult Wool Blend Collared Neck Sweatshirt,339,Men,Top-Wear,SweatF2.jpg,SweatB2.jpg,SmartWear,"Actual Products color may vary with product due to monitor settings
Wash care: machine wash cold, tumble dry low, do not bleach
Fit Type: Regular Fit
Check our size chart to get your best fit
Material type-Wool",S-XXL,,,,,
42, Printed Graphic Sweatshirt Long Sleeves ROUNND Neck,499,Men,Top-Wear,SweatF3.jpg,SweatB3.jpg,SmartWear,"Premium Quality Fabric: Made from a blend of soft, breathable materials that provide warmth and durability, ensuring long-lasting comfort and wear.
Unisex Design: Suitable for both men and women, this SWEATSHIRT offers a flattering fit for all body types, making it a versatile addition to any wardrobe.
Eye-Catching Graphic Prints: Features unique, high-quality graphics that add a modern and stylish flair to your casual outfit, making you stand out in a crowd.
ROUND Neck with Adjustable : Designed with a spacious hood and adjustable for customizable coverage and added protection against the cold.
Long Sleeve Coverage: Provides full-length sleeve coverage to keep you warm and comfortable during chilly weather.",S-XXL,,,,,
43,FASHION AND YOUTH Premium and Stylish Half Zipper Sweatshirt,599,Men,Top-Wear,SweatF4.jpg,SweatB4.jpg,SmartWear,"Perfect Choice For Winters. Can Wear With Jeans or Trackpants
Long Lasting Sweatshirt, Something That You Can Wear On Any Occasion
Wide range of styles to match personal preference
Allows for easy on and off, and can be adjusted for ventilation.",S-XXL,,,,,
44,FASHION AND YOUTH Premium and Stylish Half Zipper Sweatshirt,499,Men,Top-Wear,SweatF5.jpg,SweatB5.jpg,SmartWear,"Perfect Choice For Winters. Can Wear With Jeans or Trackpants
Long Lasting Sweatshirt, Something That You Can Wear On Any Occasion
Wide range of styles to match personal preference
Allows for easy on and off, and can be adjusted for ventilation.",S-XXL,,,,,
45,FASHION AND YOUTH Premium and Stylish Half Zipper Sweatshirt,449,Men,Top-Wear,SweatF6.jpg,SweatB6.jpg,SmartWear,"Perfect Choice For Winters. Can Wear With Jeans or Trackpants
Long Lasting Sweatshirt, Something That You Can Wear On Any Occasion
Wide range of styles to match personal preference
Allows for easy on and off, and can be adjusted for ventilation.",S-XXL,,,,,
46,Jujutsu Kaisen Ora Ora Gojo SatoruUnisex Anime Hoodie,799,Men,Top-Wear,hoodieF1.jpg,hoodieB1.jpg,SmartWear,"Material: Cotton
Size: Xx-Large
Neck Type: Hooded Neck
Sleeve Type: Long Sleeve
Care Instructions: Machine Wash",S-XXL,,,,,
47,KHAKEY Hoodie for Boys Stylish Madara Uchiha Front and Back Printed Anime Hoodie Best Winter Wear Hooded Sweatshirt,759,Men,Top-Wear,hoodieF2.jpg,hoodieB2.jpg,SmartWear,"FIT TYPE: Regular Fit; Main material: 100% Cotton , 310GSMadara Uchiha printed hoodies
Best winter wear material
Colour available: Black, Maroon, Navy, Melange
Material; Cotton And Fleece
Anime inspired Naruto Series collectionM (Bio-Washed & Pre-Shrunk for Minimum shrinkage).
HIGH DEFINITION PRINT: We are using the High Quality Print Technology to ensure our products with sharp cuts and durable for long time.
WASH CARE: Machine Wash Cold, Tumble dry low, Do Not Bleach. Check our size chart to get your best fit.
Sleeve type: Full Sleeve; Neck Type: Hooded Sweatshirt; Fitting type: Regular Fit Hoodies; Age Range Description: Adult; Occasion: Casual.
Actual Products color may vary with product due to monitor settings.",S-XXL,,,,,
48,Khakey Boys Hoodie | New Trending Anime Gojo Satoru Printed Hoodie,779,Men,Top-Wear,hoodieF3.jpg,hoodieB3.jpg,SmartWear,"Navy Colour Hoodie For Boys
Solid Winter Hoodie Sweatshirt | Warm And Acomfortable to wear
New Trendign Anime Printed Hoodie from the brand Khakey",S-XXL,,,,,
49,crazymonk Naruto Ninetails Anime Hoodie,899,Men,Top-Wear,hoodieF4.jpg,hoodieB4.jpg,SmartWear,"Material/ Fabric: 100% Cotton, Bio-Wash
Size & Fit: This brand runs true to size. To ensure the best fit, we suggest consulting the size chart.
Wash: Don? use Soap or Detergent directly on print.",S-XXL,,,,,
50,ABSOLUTE DEFENSE Deathnote Hoodie Men Anime Causal Stylish Latest Black Blue,799,Men,Top-Wear,hoodieF5.jpg,hoodieB5.jpg,SmartWear,"Perfect For Winters,Double Layered Hood
An Athletic Fit That Sits Close To The Body For A Wide Range Of Motion, Designed For Optimal Performance And All Day Comfort
Removable Tag Ensures Comfort Too With Nothing To Scratch Your Skin; Perfect For Winters,Double Layered Hood
Removable Tag Ensures Comfort Too With Nothing To Scratch Your Skin",S-XXL,,,,,
51,Beige Cotton Cargo Joggers,1199,Men,Bottom-Wear,CargoF1.jpg,CargoB1.jpg,SmartWear,"It's time to refresh your streetwear with our cotton joggers. They are designed for ultimate comfort and style. Giving a soft feel, these pants have spacious pockets for all your essentials. The ribbed hem and smooth elastic waistband with an adjustable drawstring ensure a perfect fit. Pair it with a t-shirt and you are ready for the streets!

Size & Fit:

Every Jogger Pant is tailored with regular fit over years of testing.
Our model (Height:6.1ft) is wearing a size M.
Please refer to the size chart for more accuracy.
Wash Care:

Gentle machine wash
Do not tumble dry
Do not iron directly
Do not use bleach",S-XXL,,,,,
